nama_kabupaten_kota,tahun,Prediksi Random Forest,Prediksi Linear Regression
INDRAMAYU,2025,6291.0,3282.0
INDRAMAYU,2026,6292.0,1504.0
INDRAMAYU,2027,6274.0,-274.0
DEPOK,2025,6203.0,-4849.0
DEPOK,2026,8813.0,-7038.0
DEPOK,2027,10525.0,-9227.0
