Model,R2 Score,MAE,MSE,RMSE
Random Forest Regressor,0.9306729366784265,1188.4383333333333,3274631.4236666667,1809.5942704558574
Linear Regression,0.588921267171088,3918.733678395199,19417111.754447207,4406.485192809254
