kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_nakes_gizi,Prediksi Random Forest,Prediksi Linear Regression
3212,KABUPATEN INDRAMAYU,2025,13.111619047618944,554097.1142857,105.321714285712,53.1523809523801,6291.0,3282.0
3212,KABUPATEN INDRAMAYU,2026,13.297904761904647,570025.0285714157,109.4954285714266,55.03809523809423,6292.0,1504.0
3212,KABUPATEN INDRAMAYU,2027,13.48419047619035,585952.9428571314,113.6691428571412,56.92380952380881,6274.0,-274.0
3276,KOTA DEPOK,2025,2.706761904761862,863201.9809523672,85.44019047618895,55.56190476190477,6203.0,-4849.0
3276,KOTA DEPOK,2026,2.784190476190446,899352.4952380806,80.66504761904616,58.390476190475965,8813.0,-7038.0
3276,KOTA DEPOK,2027,2.8616190476190297,935503.009523794,75.88990476190338,61.21904761904807,10525.0,-9227.0
